Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
bge-large-en-v1.5,GQ,1.0,1.0,0.9671652767558079,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7422329748991158,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.6994778023500862,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.1111111111111111,0.5705827570043652,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9164484807934127,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5797362356806025,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9922385874580825,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7093982516549237,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5505278102088803,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.5661304313301888,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.8085523919828194,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.792949770861511,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8773708888970287,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.1,0.7840811111957068,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9208491316051547,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5909478262486239,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8409534388075904,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.07623986638854101,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9465778504142199,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8032683050277851,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7799181086789212,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7395276212757309,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6045023477188619,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6331583852663827,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8037911643154334,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9811396373311051,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.819423314073295,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5967409351769444,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.10907458963273321,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.3376844721420707,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7462137866057986,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.2,0.4492146331180647,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.4714125333720195,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.5840125040483917,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7753926834409677,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6156012978458393,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.6766366279745085,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6811620532124621,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7565323207720728,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9577894409822412,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9671652767558079,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.2,0.36026808984459346,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.16666666666666666,0.38026965844844945,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.680742214107403,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.792949770861511,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5864224010106703,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8516325498295086,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8037911643154334,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.2,0.6381849155483621,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6156012978458393,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6045023477188619,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.8480498229842627,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7422329748991158,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.4714125333720195,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8733683229467235,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9496081893352645,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8656069104048059,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7642937333139903,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.8741131473494422,1.0,1.0,25,25,1.0
