Embedding,Question_type,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25
all-MiniLM-L6-v2,GQ,1.0,0.9563735252928458,25,16,0.64,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0
all-MiniLM-L6-v2,GQ,0.14285714285714285,0.16884223607103535,25,14,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.5,0.663060352260648,25,18,0.72,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,0.25,0.4825789121236015,25,13,0.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0
all-MiniLM-L6-v2,GQ,1.0,0.8764778324952817,25,13,0.52,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0
all-MiniLM-L6-v2,GQ,0.5,0.4040038892257743,25,14,0.56,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,1.0,0.9811396373311051,25,15,0.6,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0
all-MiniLM-L6-v2,GQ,0.5,0.31958277119025663,25,14,0.56,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2
all-MiniLM-L6-v2,GQ,1.0,0.7135769373515951,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,1.0,0.7311340247721385,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.3333333333333333,0.5967409351769444,25,14,0.56,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,0.5,0.772134941893381,25,18,0.72,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,1.0
all-MiniLM-L6-v2,GQ,0.5,0.6819207149295429,25,14,0.56,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,1.0,0.8909254103672668,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,0.0,0.6241075347904756,25,14,0.56,0.0,1.0,0.2,0.0,1.0,0.6,0.0,1.0,0.6,0.0,1.0,0.8,0.0,1.0,0.8
all-MiniLM-L6-v2,GQ,1.0,0.7358717948667077,25,13,0.52,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.8,1.0,1.0,1.0
all-MiniLM-L6-v2,GQ,1.0,0.5065267082131061,25,15,0.6,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,1.0,0.9020243604942442,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0
all-MiniLM-L6-v2,GQ,0.0,0.0,25,14,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all-MiniLM-L6-v2,GQ,1.0,0.6663180938082345,25,16,0.64,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,1.0,0.8375032607814867,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,1.0,0.5065267082131061,25,16,0.64,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,1.0,0.8077937302657386,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,1.0,0.6331583852663827,25,15,0.6,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.3333333333333333,0.4130547397016814,25,14,0.56,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4
all-MiniLM-L6-v2,GQ,1.0,0.6811620532124621,25,14,0.56,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,1.0,0.7311340247721385,25,15,0.6,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8
